ticker,name_en,name_zh,exchange,sector,last_verified,source
000099.SHE,Citic Offshore Helicopter Co Ltd,中信海直,SHE,Common Stock,2026-06-09,EODHD search
000333.SHE,Midea Group Co Ltd,美的集团,SHE,Common Stock,2026-06-05,EODHD init batch 2026-06-05
000625.SHE,Chongqing Changan Automobile Co Ltd,长安汽车,SHE,Common Stock,2026-06-05,EODHD init batch 2026-06-05
000636.SHE,Guangdong Fenghua Advanced Technology Holding Co Ltd,风华高科Fenghua,SHE,Common Stock,2026-06-05,EODHD init batch 2026-06-05
000660.KO,SK Hynix Inc,SK Hynix,KO,Common Stock,2026-06-05,EODHD init batch 2026-06-05
000733.SHE,China Zhenhua Group Science & Technology Co Ltd,振华科技,SHE,Common Stock,2026-06-09,EODHD search
000837.SHE,Qinchuan Machine Tool & Tool Group Share Co Ltd,秦川机床,SHE,Common Stock,2026-06-05,EODHD search
000977.SHE,Inspur Electronic Info Industr,浪潮信息,SHE,Common Stock,2026-06-05,EODHD init batch 2026-06-05
000988.SHE,Huagong Tech Co Ltd,华工科技,SHE,Common Stock,2026-06-09,EODHD search
0020.HK,NetX Holdings Bhd,商汤,KLSE,Common Stock,2026-06-05,EODHD init batch 2026-06-05
002023.SHE,Sichuan Haite High-tech Co Ltd,海特高新,SHE,Common Stock,2026-06-09,EODHD search
002050.SHE,Zhejiang Sanhua Co Ltd,三花智控,SHE,Common Stock,2026-06-05,EODHD search
002074.SHE,Gotion High tech Co Ltd,国轩高科,SHE,Common Stock,2026-06-09,EODHD search
002085.SHE,Zhejiang Wanfeng Auto Wheel Co Ltd,万丰奥威,SHE,Common Stock,2026-06-09,EODHD search
002126.SHE,Zhejiang Yinlun Machinery Co Ltd,银轮股份,SHE,Common Stock,2026-06-05,EODHD search
002151.SHE,Beijing BDStar Navigation Co Ltd,北斗星通,SHE,Common Stock,2026-06-09,EODHD search
002156.SHE,TongFu Microelectronics Co Ltd,通富微电,SHE,Common Stock,2026-06-05,EODHD init batch 2026-06-05
002176.SHE,Jiangxi Special Electric Motor Co Ltd,江特电机,SHE,Common Stock,2026-06-05,EODHD search
002179.SHE,AVIC Jonhon Optronic Technology Co Ltd,中航光电,SHE,Common Stock,2026-06-05,EODHD init batch 2026-06-05
002212.SHE,Topsec Technologies Group Inc,天融信,SHE,Common Stock,2026-06-10,EODHD search
002230.SHE,Iflytek Co Ltd,科大讯飞,SHE,Common Stock,2026-06-05,EODHD init batch 2026-06-05
002236.SHE,Zhejiang Dahua Technology Co Ltd,大华股份,SHE,Common Stock,2026-06-05,EODHD init batch 2026-06-05
002253.SHE,Wisesoft Co Ltd,川大智胜,SHE,Common Stock,2026-06-05,EODHD init batch 2026-06-05
002268.SHE,Westone Information Industry Inc,电科网安,SHE,Common Stock,2026-06-10,EODHD search
002315.SHE,Focus Technology Co Ltd,焦点科技,SHE,Common Stock,2026-06-05,EODHD init batch 2026-06-05
002338.SHE,Changchun UP Optotech Co Ltd,奥普光电,SHE,Common Stock,2026-06-05,EODHD init batch 2026-06-05
002371.SHE,NAURA Technology Group Co Ltd,北方华创,SHE,Common Stock,2026-06-05,EODHD init batch 2026-06-05
002384.SHE,Suzhou Dongshan Precision Manufacturing Co Ltd,东山精密,SHE,Common Stock,2026-06-05,EODHD init batch 2026-06-05
002389.SHE,Aerospace CH UAV Co Ltd,航天彩虹,SHE,Common Stock,2026-06-09,EODHD search
002410.SHE,Glodon Software Co Ltd,广联达,SHE,Common Stock,2026-06-05,EODHD init batch 2026-06-05
002414.SHE,Wuhan Guide Infrared Co Ltd,高德红外,SHE,Common Stock,2026-06-09,EODHD search
002415.SHE,Hangzhou Hikvision Digital Technology Co Ltd,海康威视,SHE,Common Stock,2026-06-05,EODHD init batch 2026-06-05
002439.SHE,Beijing Venustech Inc,启明星辰,SHE,Common Stock,2026-06-05,EODHD init batch 2026-06-05
002463.SHE,"Wus Printed Circuit (Kunshan) Co., Ltd.",沪电股份 Wus,SHE,Common Stock,2026-06-21,yfinance longName verify 2026-06-21
002472.SHE,Zhejiang Shuanghuan Driveline Co Ltd,双环传动,SHE,Common Stock,2026-06-05,EODHD search
002475.SHE,Luxshare Precision Industry Co Ltd,立讯精密,SHE,Common Stock,2026-06-05,EODHD init batch 2026-06-05
002527.SHE,Shanghai STEP Electric Corp,新时达,SHE,Common Stock,2026-06-05,EODHD search
002664.SHE,Xinzhi Motor Co Ltd,信质电机,SHE,Common Stock,2026-06-05,manual review 2026-06-05 (Dogfood #13 L2 audit)
002690.SHE,Hefei Meiya Optoelectronic Technology Inc,美亚光电,SHE,Common Stock,2026-06-05,EODHD init batch 2026-06-05
002747.SHE,Nanjing ESTUN Automation Co Ltd,埃斯顿,SHE,Common Stock,2026-06-05,EODHD init batch 2026-06-05
002859.SHE,Zhejiang Jiemei Electronic and Technology Co Ltd,洁美科技Jmei,SHE,Common Stock,2026-06-05,EODHD init batch 2026-06-05
002896.SHE,Ningbo ZhongDa Leader Intelligent Transmission Co Ltd,中大力德,SHE,Common Stock,2026-06-05,EODHD search
002916.SHE,"Shennan Circuits Co., Ltd.",深南电路 SCC,SHE,Common Stock,2026-06-21,yfinance longName verify 2026-06-21
002938.SHE,"Avary Holding(Shenzhen)Co., Limited",鹏鼎控股 ZhenDing,SHE,Common Stock,2026-06-21,yfinance longName verify 2026-06-21
002979.SHE,China Leadshine Technology Co Ltd,雷赛智能,SHE,Common Stock,2026-06-05,EODHD search
005930.KO,Samsung Electronics Co Ltd,Samsung Electronics,KO,Common Stock,2026-06-05,EODHD init batch 2026-06-05
009150.KO,Samsung Electro-Mechanics Co Ltd,三星电机SamsungEM,KO,Common Stock,2026-06-17,yfinance longName verify 2026-06-17
0175.HK,Heng Huat Resources Group Bhd,吉利汽车,KLSE,Common Stock,2026-06-05,EODHD init batch 2026-06-05
0268.HK,L&P Global Berhad,金蝶国际,KLSE,Common Stock,2026-06-05,EODHD init batch 2026-06-05
0522.HK,iMBC Co.Ltd,ASMPT,KQ,Common Stock,2026-06-05,EODHD init batch 2026-06-05
0700.HK,RENEGADE GOLD INC.,腾讯,F,Common Stock,2026-06-05,EODHD init batch 2026-06-05
1357.HK,Meitu Inc,美图公司,HK,Common Stock,2026-06-05,manual 2026-06-05
2013.HK,China Steel Structure Co Ltd,微盟集团,TW,Common Stock,2026-06-05,EODHD init batch 2026-06-05
2015.HK,Feng Hsin Steel Co Ltd,理想汽车,TW,Common Stock,2026-06-05,EODHD init batch 2026-06-05
2327.TW,Yageo Corporation,国巨Yageo,TW,Common Stock,2026-06-17,yfinance longName verify 2026-06-17
2356.TW,Inventec Corp,Inventec,TW,Common Stock,2026-06-05,EODHD init batch 2026-06-05
2382.HK,Quanta Computer Inc,舜宇光学,TW,Common Stock,2026-06-05,EODHD init batch 2026-06-05
2382.TW,Quanta Computer Inc,Quanta,TW,Common Stock,2026-06-05,EODHD init batch 2026-06-05
2492.TW,Walsin Technology Corp,华新科Walsin,TW,Common Stock,2026-06-17,yfinance longName verify 2026-06-17
300033.SHE,Hithink RoyalFlush Info Network,同花顺,SHE,Common Stock,2026-06-05,EODHD init batch 2026-06-05
300034.SHE,Beijing Cisri Gaona Materials Tech,钢研高纳,SHE,Common Stock,2026-06-09,EODHD search
300097.SHE,Dalian Zhiyun Automation Co Ltd,智云股份,SHE,Common Stock,2026-06-05,EODHD search
300100.SHE,Ningbo Shuanglin Auto Parts,双林股份,SHE,Common Stock,2026-06-05,EODHD init batch 2026-06-05
300124.SHE,Shenzhen Inovance Tech,汇川技术,SHE,Common Stock,2026-06-05,EODHD init batch 2026-06-05
300188.SHE,Xiamen Meiya Pico Information,美亚柏科,SHE,Common Stock,2026-06-10,EODHD search
300229.SHE,Beijing TRS Information Tech,拓尔思,SHE,Common Stock,2026-06-05,EODHD init batch 2026-06-05
300285.SHE,Shandong Sinocera Func Material,国瓷材料Sinocera,SHE,Common Stock,2026-06-05,EODHD init batch 2026-06-05
300308.SHE,Shandong Zhongji Electrical Equipment Co Ltd,中际旭创,SHE,Common Stock,2026-06-05,EODHD init batch 2026-06-05
300352.SHE,Beijing VRV Software Corp Ltd,北信源,SHE,Common Stock,2026-06-10,EODHD search
300369.SHE,Nsfocus Information Technology Co Ltd,绿盟科技,SHE,Common Stock,2026-06-10,EODHD search
300408.SHE,Chaozhou Three-Circle Group Co Ltd,三环集团CCTC,SHE,Common Stock,2026-06-17,yfinance longName verify 2026-06-17
300454.SHE,Sangfor Technologies Inc Class A,深信服,SHE,Common Stock,2026-06-10,EODHD search
300476.SHE,"Victory Giant Technology (HuiZhou) Co.,Ltd",胜宏科技 VictoryG,SHE,Common Stock,2026-06-21,yfinance longName verify 2026-06-21
300580.SHE,Wuxi Best Precision Machinery Co Ltd,贝斯特,SHE,Common Stock,2026-06-05,EODHD search
300607.SHE,Guangdong Topstar Technology Co Ltd,拓斯达,SHE,Common Stock,2026-06-05,EODHD search
300659.SHE,Zhongfu Information Inc,中孚信息,SHE,Common Stock,2026-06-10,EODHD search
300699.SHE,Weihai Guangwei Composites Co Ltd,光威复材,SHE,Common Stock,2026-06-05,EODHD init batch 2026-06-05
300718.SHE,Zhejiang Changsheng Sliding Bearings Co Ltd Class A,长盛轴承,SHE,Common Stock,2026-06-05,EODHD search
300750.SHE,Contemporary Amperex Technology Co Ltd Class A,宁德时代,SHE,Common Stock,2026-06-05,EODHD init batch 2026-06-05
300768.SHE,Hangzhou DPtech Technologies Co Ltd,迪普科技,SHE,Common Stock,2026-06-10,EODHD search
300777.SHE,Sinofibers Technology Co Ltd,中简科技,SHE,Common Stock,2026-06-09,EODHD search
300806.SHE,Jiangsu Sidike New Materials Sci Te,斯迪克Sidike,SHE,Common Stock,2026-06-05,EODHD init batch 2026-06-05
300866.SHE,Anker Innovations Technology Co Ltd,安克创新,SHE,Common Stock,2026-06-05,EODHD init batch 2026-06-05
301091.SHE,Shenzhen Urban Transport Planning Center Co. Ltd.,深城交,SHE,Common Stock,2026-06-09,EODHD search
3324.TW,Auras Technology Co Ltd,双鸿科技,TWO,Common Stock,2026-06-05,EODHD init batch 2026-06-05
3483.TWO,Forcecon Technology Co Ltd,力致科技,TWO,Common Stock,2026-06-05,EODHD init batch 2026-06-05
3690.HK,Meituan,美团,HK,Common Stock,2026-06-05,manual 2026-06-05
4078.T,Sakai Chemical Industry Co Ltd,堺化学Sakai,TSE,Common Stock,2026-06-05,fix 2026-06-17 yfinance longName
4092.T,Nippon Chemical Industrial Co Ltd,日本化学产业,TSE,Common Stock,2026-06-05,manual 2026-06-05
5392.TWO,AVY Precision Technology,Auras Technology,TWO,Common Stock,2026-06-05,EODHD init batch 2026-06-05
5727.T,Toho Titanium Co Ltd,东邦钛业,TSE,Common Stock,2026-06-05,manual 2026-06-05
600038.SHG,Avicopter PLC,中直股份,SHG,Common Stock,2026-06-09,EODHD search
600183.SHG,"Shengyi Technology Co.,Ltd.",生益科技 Shengyi,SHG,Common Stock,2026-06-21,yfinance longName verify 2026-06-21
600399.SHG,Fushun Special Steel Co Ltd,抚顺特钢,SHG,Common Stock,2026-06-09,EODHD search
